Honda	Ridgeline	2016 Ridgeline Crew Cab	2016	Not Available	Truck	Not Available	Not Available	 Gas	Not Available	Not Available	 Four Wheel Drive	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Ford	F-150	2016 F-150 SuperCab	2016	 18/25 mpg	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	6	V6	 Rear Wheel Drive	 Flex-fuel (FFV)	 3.5 L	 282 hp @ 6250 rpm	 253 ft-lbs. @ 4250 rpm	$30,375	        No	        No	        No
Ford	F-150	2014 F-150 SuperCab	2014	 17/23 mpg	Truck	 6-speed Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	6	V6	 Rear Wheel Drive	 Flex-fuel (FFV)	 3.7 L	 302 hp @ 6500 rpm	 278 ft-lbs. @ 4000 rpm	$28,940	        No	        No	        No
Ford	F-150	2015 F-150 SuperCab	2015	 18/25 mpg	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	6	V6	 Rear Wheel Drive	 Flex-fuel (FFV)	 3.5 L	 282 hp @ 6250 rpm	 253 ft-lbs. @ 4250 rpm	$30,090	        No	        No	        No
Ford	F-350 Super Duty	2015 F-350 Super Duty Regular Cab	2015	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	3	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 6.2 L	 385 hp @ 5500 rpm	 405 ft-lbs. @ 4500 rpm	$32,130	        No	        No	        No
Ford	F-350 Super Duty	2014 F-350 Super Duty Crew Cab	2014	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	6	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 6.2 L	 385 hp @ 5500 rpm	 405 ft-lbs. @ 4500 rpm	$34,530	        No	        No	        No
Ford	F-250 Super Duty	2016 F-250 Super Duty Crew Cab	2016	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	6	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 6.2 L	 385 hp @ 5500 rpm	 405 ft-lbs. @ 4500 rpm	$35,980	        No	        No	        No
Ford	F-250 Super Duty	2017 F-250 Super Duty Crew Cab	2017	Not Available	Truck	Not Available	Not Available	 Gas	Not Available	Not Available	 Four Wheel Drive	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Ford	F-350 Super Duty	2015 F-350 Super Duty SuperCab	2015	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	6	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 6.2 L	 385 hp @ 5500 rpm	 405 ft-lbs. @ 4500 rpm	$34,330	        No	        No	        No
Ford	F-350 Super Duty	2014 F-350 Super Duty SuperCab	2014	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	6	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 6.2 L	 385 hp @ 5500 rpm	 405 ft-lbs. @ 4500 rpm	$33,130	        No	        No	        No
Ford	F-350 Super Duty	2014 F-350 Super Duty Regular Cab	2014	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	3	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 6.2 L	 385 hp @ 5500 rpm	 405 ft-lbs. @ 4500 rpm	$30,930	        No	        No	        No
Ford	F-350 Super Duty	2016 F-350 Super Duty SuperCab	2016	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	6	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 6.2 L	 385 hp @ 5500 rpm	 405 ft-lbs. @ 4500 rpm	$35,480	        No	        No	        No
Ford	F-250 Super Duty	2015 F-250 Super Duty Crew Cab	2015	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	6	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 6.2 L	 385 hp @ 5500 rpm	 405 ft-lbs. @ 4500 rpm	$34,830	        No	        No	        No
Ford	F-250 Super Duty	2014 F-250 Super Duty SuperCab	2014	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	6	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 6.2 L	 385 hp @ 5500 rpm	 405 ft-lbs. @ 4500 rpm	$32,230	        No	        No	        No
Ford	F-250 Super Duty	2014 F-250 Super Duty Crew Cab	2014	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	6	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 6.2 L	 385 hp @ 5500 rpm	 405 ft-lbs. @ 4500 rpm	$33,630	        No	        No	        No
Ford	Fiesta	2016 Fiesta ST	2016	 26/35 mpg	Hatchback	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 197 hp @ 6000 rpm	 202 ft-lbs. @ 4200 rpm	$21,460	        Yes	        Yes	        No
Ford	F-450 Super Duty	2014 F-450 Super Duty Crew Cab	2014	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Diesel	6	V8	 Four Wheel Drive	 Diesel	 6.7 L	 400 hp @ 2800 rpm	 800 ft-lbs. @ 1600 rpm	$50,560	        No	        No	        No
Ford	F-150	2017 F-150 SuperCrew	2017	Not Available	Truck	Not Available	Not Available	 Gas	Not Available	Not Available	 Four Wheel Drive	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Ford	F-450 Super Duty	2015 F-450 Super Duty Crew Cab	2015	Not Available	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Diesel	6	V8	 Four Wheel Drive	 Diesel	 6.7 L	 440 hp @ 2800 rpm	 860 ft-lbs. @ 1600 rpm	$51,910	        No	        No	        No
Ford	F-150	2016 F-150 SuperCrew	2016	 18/25 mpg	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	6	V6	 Rear Wheel Drive	 Flex-fuel (FFV)	 3.5 L	 282 hp @ 6250 rpm	 253 ft-lbs. @ 4250 rpm	$32,830	        No	        No	        No
Ford	Fiesta	2014 Fiesta ST	2014	 26/35 mpg	Hatchback	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 197 hp @ 6000 rpm	 214 ft-lbs. @ 2500 rpm	$21,400	        Yes	        Yes	        Yes
Ford	Fiesta	2015 Fiesta ST	2015	 26/35 mpg	Hatchback	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 197 hp @ 6000 rpm	 202 ft-lbs. @ 4200 rpm	$21,435	        Yes	        Yes	        Yes
Ford	F-150	2015 F-150 SuperCrew	2015	 18/25 mpg	Truck	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	6	V6	 Rear Wheel Drive	 Flex-fuel (FFV)	 3.5 L	 282 hp @ 6250 rpm	 253 ft-lbs. @ 4250 rpm	$32,545	        No	        No	        No
Ford	F-150	2014 F-150 SuperCrew	2014	 17/23 mpg	Truck	 6-speed Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	6	V6	 Rear Wheel Drive	 Flex-fuel (FFV)	 3.7 L	 302 hp @ 6500 rpm	 278 ft-lbs. @ 4000 rpm	$32,590	        No	        No	        No
Ford	Fiesta	2015 Fiesta Hatchback	2015	 28/36 mpg	Hatchback	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 120 hp @ 6350 rpm	 112 ft-lbs. @ 5000 rpm	$14,855	        Yes	        No	        Yes
Ford	Fiesta	2014 Fiesta Hatchback	2014	 28/36 mpg	Hatchback	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 120 hp @ 6350 rpm	 112 ft-lbs. @ 5000 rpm	$14,600	        Yes	        No	        Yes
Ford	Flex	2015 Flex Wagon	2015	 18/25 mpg	Wagon	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	7	V6	 Front Wheel Drive	 Regular unleaded	 3.5 L	 287 hp @ 6500 rpm	 254 ft-lbs. @ 4000 rpm	$29,100	        Yes	        No	        Yes
Ford	Fiesta	2014 Fiesta Sedan	2014	 28/36 mpg	Sedan	 5-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 1.6 L	 120 hp @ 6350 rpm	 112 ft-lbs. @ 5000 rpm	$14,100	        Yes	        No	        Yes
Ford	Flex	2014 Flex Wagon	2014	 18/25 mpg	Wagon	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	7	V6	 Front Wheel Drive	 Regular unleaded	 3.5 L	 287 hp @ 6500 rpm	 254 ft-lbs. @ 4000 rpm	$29,015	        Yes	        No	        Yes
Ford	Focus	2015 Focus Sedan	2015	 26/36 mpg	Sedan	 5-speed Manual	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	5	Inline 4	 Front Wheel Drive	 Flex-fuel (FFV)	 2.0 L	 160 hp @ 6500 rpm	 146 ft-lbs. @ 4450 rpm	$17,170	        Yes	        No	        No
Ford	Focus RS	2016 Focus RS Hatchback	2016	Not Available	Hatchback	 6-speed Manual	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 All Wheel Drive	 Premium unleaded (recommended)	 2.3 L	 350 hp @ 6000 rpm	 350 ft-lbs. @ 3200 rpm	$35,730	        Yes	        Yes	        No
Ford	Focus	2015 Focus Hatchback	2015	 26/36 mpg	Hatchback	 5-speed Manual	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	5	Inline 4	 Front Wheel Drive	 Flex-fuel (FFV)	 2.0 L	 160 hp @ 6500 rpm	 146 ft-lbs. @ 4450 rpm	$18,960	        Yes	        Yes	        No
Ford	Focus	2014 Focus Sedan	2014	 26/36 mpg	Sedan	 5-speed Manual	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	5	Inline 4	 Front Wheel Drive	 Flex-fuel (FFV)	 2.0 L	 160 hp @ 6500 rpm	 146 ft-lbs. @ 4450 rpm	$16,810	        No	        No	        No
Ford	Focus	2015 Focus Electric	2015	 110/99 mpg	Hatchback	 1-speed Direct Drive	 3 Yr./ 36000 Mi.	 Electric	5	Not Available	 Front Wheel Drive	Not Available	Not Available	Not Available	Not Available	$29,170	        Yes	        Yes	        Yes
Ford	Focus	2016 Focus Electric	2016	 110/99 mpg	Hatchback	 1-speed Direct Drive	 3 Yr./ 36000 Mi.	 Electric	5	Not Available	 Front Wheel Drive	Not Available	Not Available	Not Available	Not Available	$29,170	        Yes	        Yes	        Yes
Ford	Focus	2014 Focus Electric	2014	 110/99 mpg	Hatchback	 1-speed Direct Drive	 3 Yr./ 36000 Mi.	 Electric	5	Not Available	 Front Wheel Drive	Not Available	Not Available	Not Available	Not Available	$29,170	        Yes	        Yes	        Yes
Ford	Focus	2014 Focus Hatchback	2014	 26/36 mpg	Hatchback	 5-speed Manual	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	5	Inline 4	 Front Wheel Drive	 Flex-fuel (FFV)	 2.0 L	 160 hp @ 6500 rpm	 146 ft-lbs. @ 4450 rpm	$19,115	        Yes	        Yes	        No
Ford	Edge	2015 Edge SUV	2015	 20/30 mpg	SUV	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 245 hp @ 5500 rpm	 275 ft-lbs. @ 3000 rpm	$28,100	        Yes	        No	        No
Ford	Escape	2017 Escape SUV	2017	Not Available	SUV	Not Available	Not Available	 Gas	Not Available	Not Available	 Front Wheel Drive	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Ford	Escape	2016 Escape SUV	2016	 22/31 mpg	SUV	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.5 L	 168 hp @ 6000 rpm	 170 ft-lbs. @ 4500 rpm	$23,590	        Yes	        No	        No
Ford	Escape	2015 Escape SUV	2015	 22/31 mpg	SUV	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.5 L	 168 hp @ 6000 rpm	 170 ft-lbs. @ 4500 rpm	$23,450	        Yes	        No	        Yes
Ford	Edge	2014 Edge SUV	2014	 19/27 mpg	SUV	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V6	 Front Wheel Drive	 Regular unleaded	 3.5 L	 285 hp @ 6500 rpm	 253 ft-lbs. @ 4000 rpm	$28,100	        No	        No	        No
Ford	Edge	2016 Edge SUV	2016	 20/30 mpg	SUV	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (recommended)	 2.0 L	 245 hp @ 5500 rpm	 275 ft-lbs. @ 3000 rpm	$28,700	        Yes	        No	        No
Ford	Escape	2014 Escape SUV	2014	 22/31 mpg	SUV	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.5 L	 168 hp @ 6000 rpm	 170 ft-lbs. @ 4500 rpm	$23,100	        Yes	        No	        Yes
Ford	E-Series Wagon	2014 E-Series Wagon Van	2014	 13/16 mpg	Van	 4-speed Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	8	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 4.6 L	 225 hp @ 4800 rpm	 286 ft-lbs. @ 3500 rpm	$30,230	        No	        No	        No
Ford	C-Max Energi	2015 C-Max Energi Wagon	2015	Not Available	Wagon	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	Not Available	 2.0 L	 188 hp @ 6000 rpm	 129 ft-lbs. @ 4000 rpm	$31,770	        Yes	        Yes	        Yes
Ford	C-Max Energi	2016 C-Max Energi Wagon	2016	Not Available	Wagon	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	Not Available	 2.0 L	 188 hp @ 6000 rpm	 129 ft-lbs. @ 4000 rpm	$31,770	        Yes	        Yes	        No
Ford	C-Max Energi	2014 C-Max Energi Wagon	2014	Not Available	Wagon	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	Not Available	 2.0 L	 188 hp @ 6000 rpm	 129 ft-lbs. @ 4000 rpm	$31,635	        Yes	        Yes	        Yes
MINI	Cooper Coupe	2014 Cooper Coupe Hatchback	2014	 29/37 mpg	Hatchback	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	2	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 1.6 L	 121 hp @ 6000 rpm	 118 ft-lbs. @ 4250 rpm	$21,450	        Yes	        Yes	        No
MINI	Cooper Paceman	2016 Cooper Paceman Hatchback	2016	 27/32 mpg	Hatchback	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 1.6 L	 121 hp @ 6000 rpm	 118 ft-lbs. @ 4250 rpm	$23,550	        Yes	        Yes	        No
MINI	Cooper Coupe	2015 Cooper Coupe Hatchback	2015	 29/37 mpg	Hatchback	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	2	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 1.6 L	 121 hp @ 6000 rpm	 118 ft-lbs. @ 4250 rpm	$22,000	        Yes	        Yes	        No
MINI	Cooper Clubman	2014 Cooper Clubman John Cooper Works	2014	 26/35 mpg	Hatchback	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 1.6 L	 208 hp @ 6000 rpm	 192 ft-lbs. @ 1750 rpm	$32,300	        Yes	        Yes	        No
MINI	Cooper	2016 Cooper John Cooper Works	2016	 23/31 mpg	Hatchback	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 2.0 L	 228 hp @ 5200 rpm	 236 ft-lbs. @ 1250 rpm	Not Available	        Yes	        Yes	        No
MINI	Cooper Clubman	2016 Cooper Clubman Hatchback	2016	Not Available	Hatchback	Not Available	Not Available	 Gas	Not Available	Not Available	 Rear Wheel Drive	 Premium unleaded (required)	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
MINI	Cooper Clubman	2014 Cooper Clubman Hatchback	2014	 28/35 mpg	Hatchback	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 1.6 L	 121 hp @ 6000 rpm	 114 ft-lbs. @ 4250 rpm	$21,400	        Yes	        Yes	        No
MINI	Cooper	2014 Cooper John Cooper Works	2014	 26/35 mpg	Convertible	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 1.6 L	 208 hp @ 6000 rpm	 192 ft-lbs. @ 1750 rpm	Not Available	        Yes	        Yes	        No
MINI	Cooper Countryman	2016 Cooper Countryman Wagon	2016	 27/34 mpg	Wagon	 6-speed Manual	Not Available	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 1.6 L	 121 hp @ 6000 rpm	 114 ft-lbs. @ 4250 rpm	$22,750	        Yes	        Yes	        No
MINI	Cooper Countryman	2015 Cooper Countryman Wagon	2015	 27/34 mpg	Wagon	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 1.6 L	 121 hp @ 6000 rpm	 114 ft-lbs. @ 4250 rpm	$22,750	        Yes	        Yes	        No
MINI	Cooper	2015 Cooper John Cooper Works	2015	 23/31 mpg	Hatchback	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 2.0 L	 228 hp @ 5200 rpm	 236 ft-lbs. @ 1250 rpm	Not Available	        Yes	        Yes	        No
MINI	Cooper Countryman	2014 Cooper Countryman Wagon	2014	 28/35 mpg	Wagon	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 1.6 L	 121 hp @ 6000 rpm	 118 ft-lbs. @ 4250 rpm	$22,100	        Yes	        Yes	        No
MINI	Cooper Countryman	2016 Cooper Countryman John Cooper Works ALL4	2016	 25/31 mpg	Wagon	 6-speed Manual	Not Available	 Gas	5	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 1.6 L	 208 hp @ 6000 rpm	 192 ft-lbs. @ 1900 rpm	$35,350	        Yes	        Yes	        No
Ford	C-Max Hybrid	2016 C-Max Hybrid Wagon	2016	 42/37 mpg	Wagon	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 188 hp @ 6000 rpm	 129 ft-lbs. @ 4000 rpm	$24,170	        Yes	        Yes	        No
Ford	C-Max Hybrid	2015 C-Max Hybrid Wagon	2015	 42/37 mpg	Wagon	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 188 hp @ 6000 rpm	 129 ft-lbs. @ 4000 rpm	$24,170	        Yes	        Yes	        No
MINI	Cooper Coupe	2014 Cooper Coupe John Cooper Works	2014	 26/35 mpg	Hatchback	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	2	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 1.6 L	 208 hp @ 6000 rpm	 192 ft-lbs. @ 1750 rpm	$31,350	        Yes	        Yes	        No
Ford	C-Max Hybrid	2014 C-Max Hybrid Wagon	2014	 42/37 mpg	Wagon	 Continuously Variable-speed Automatic	 3 Yr./ 36000 Mi.	 Hybrid	5	Inline 4	 Front Wheel Drive	 Regular unleaded	 2.0 L	 188 hp @ 6000 rpm	 129 ft-lbs. @ 4000 rpm	$24,170	        Yes	        Yes	        No
MINI	Cooper Countryman	2015 Cooper Countryman John Cooper Works ALL4	2015	 25/31 mpg	Wagon	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 1.6 L	 208 hp @ 6000 rpm	 192 ft-lbs. @ 1900 rpm	$35,350	        Yes	        Yes	        No
MINI	Cooper Countryman	2014 Cooper Countryman John Cooper Works ALL4	2014	 25/31 mpg	Wagon	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	5	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 1.6 L	 208 hp @ 6000 rpm	 192 ft-lbs. @ 1900 rpm	$34,950	        Yes	        Yes	        No
MINI	Cooper Coupe	2015 Cooper Coupe John Cooper Works	2015	 26/35 mpg	Hatchback	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	2	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 1.6 L	 208 hp @ 6000 rpm	 192 ft-lbs. @ 1750 rpm	$31,900	        Yes	        Yes	        No
MINI	Cooper Paceman	2014 Cooper Paceman Hatchback	2014	 28/35 mpg	Hatchback	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 1.6 L	 121 hp @ 6000 rpm	 118 ft-lbs. @ 4250 rpm	$23,300	        Yes	        Yes	        No
MINI	Cooper Paceman	2015 Cooper Paceman Hatchback	2015	 27/34 mpg	Hatchback	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 1.6 L	 121 hp @ 6000 rpm	 118 ft-lbs. @ 4250 rpm	$23,550	        Yes	        Yes	        No
MINI	Cooper Paceman	2016 Cooper Paceman John Cooper Works ALL4	2016	 25/31 mpg	Hatchback	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 1.6 L	 208 hp @ 6000 rpm	 207 ft-lbs. @ 1900 rpm	$35,600	        Yes	        Yes	        No
MINI	Cooper Paceman	2015 Cooper Paceman John Cooper Works ALL4	2015	 25/31 mpg	Hatchback	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 1.6 L	 208 hp @ 6000 rpm	 207 ft-lbs. @ 1900 rpm	$35,600	        Yes	        Yes	        No
MINI	Cooper Paceman	2014 Cooper Paceman John Cooper Works ALL4	2014	 25/31 mpg	Hatchback	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 4	 All Wheel Drive	 Premium unleaded (required)	 1.6 L	 208 hp @ 6000 rpm	 207 ft-lbs. @ 1900 rpm	$35,600	        Yes	        Yes	        No
MINI	Cooper Roadster	2015 Cooper Roadster Convertible	2015	 27/34 mpg	Convertible	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	2	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 1.6 L	 121 hp @ 6000 rpm	 118 ft-lbs. @ 4250 rpm	$26,100	        Yes	        Yes	        No
MINI	Cooper Roadster	2014 Cooper Roadster John Cooper Works	2014	 26/35 mpg	Convertible	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	2	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 1.6 L	 208 hp @ 6000 rpm	 192 ft-lbs. @ 1750 rpm	$35,700	        Yes	        Yes	        No
MINI	Cooper Roadster	2015 Cooper Roadster John Cooper Works	2015	 26/35 mpg	Convertible	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	2	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 1.6 L	 208 hp @ 6000 rpm	 192 ft-lbs. @ 1750 rpm	$36,250	        Yes	        Yes	        No
Toyota	4Runner	2016 4Runner SUV	2016	 17/22 mpg	SUV	 5-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V6	 Rear Wheel Drive	 Regular unleaded	 4.0 L	 270 hp @ 5600 rpm	 278 ft-lbs. @ 4400 rpm	$33,510	        Yes	        No	        Yes
MINI	Cooper Roadster	2014 Cooper Roadster Convertible	2014	 28/35 mpg	Convertible	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	2	Inline 4	 Front Wheel Drive	 Premium unleaded (required)	 1.6 L	 121 hp @ 6000 rpm	 118 ft-lbs. @ 4250 rpm	$25,550	        Yes	        Yes	        No
Toyota	4Runner	2015 4Runner SUV	2015	 17/22 mpg	SUV	 5-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V6	 Rear Wheel Drive	 Regular unleaded	 4.0 L	 270 hp @ 5600 rpm	 278 ft-lbs. @ 4400 rpm	$33,210	        Yes	        No	        No
Ford	E-Series Van	2014 E-Series Van 	2014	Not Available	Van	 4-speed Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	2	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 4.6 L	 225 hp @ 4800 rpm	 286 ft-lbs. @ 3500 rpm	$28,600	        No	        No	        No
Toyota	4Runner	2014 4Runner SUV	2014	 17/23 mpg	SUV	 5-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	5	V6	 Rear Wheel Drive	 Regular unleaded	 4.0 L	 270 hp @ 5600 rpm	 278 ft-lbs. @ 4400 rpm	$32,820	        Yes	        No	        No
Ford	Expedition	2018 Expedition SUV	2018	Not Available	SUV	Not Available	Not Available	 Gas	Not Available	Not Available	 Rear Wheel Drive	 Regular unleaded	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available	Not Available
Ford	Expedition	2015 Expedition SUV	2015	 16/22 mpg	SUV	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	8	V6	 Rear Wheel Drive	 Regular unleaded	 3.5 L	 365 hp @ 5000 rpm	 420 ft-lbs. @ 2250 rpm	$44,585	        Yes	        Yes	        No
Ford	Expedition	2016 Expedition SUV	2016	 16/22 mpg	SUV	 6-speed Shiftable Automatic	 3 Yr./ 36000 Mi.	 Gas	8	V6	 Rear Wheel Drive	 Regular unleaded	 3.5 L	 365 hp @ 5000 rpm	 420 ft-lbs. @ 2250 rpm	$45,435	        Yes	        Yes	        No
Ford	Expedition	2014 Expedition SUV	2014	 14/20 mpg	SUV	 6-speed Automatic	 3 Yr./ 36000 Mi.	 Flex-fuel (ffv)	5	V8	 Rear Wheel Drive	 Flex-fuel (FFV)	 5.4 L	 310 hp @ 5100 rpm	 365 ft-lbs. @ 3600 rpm	$38,535	        No	        No	        No
MINI	Cooper	2016 Cooper Hatchback	2016	 29/40 mpg	Hatchback	 6-speed Manual	 4 Yr./ 50000 Mi.	 Gas	4	Inline 3	 Front Wheel Drive	 Premium unleaded (required)	 1.5 L	 134 hp @ 4500 rpm	 162 ft-lbs. @ 1250 rpm	$20,700	        Yes	        Yes	        No
